Name,Age,Nationality,Preferred Positions,Overall,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys
I. Gómez,20,Argentina,CDM ,59,63.0,73.0,56.0,80.0,57.0,42.0,42.0,41.0,54.0,34.0,45.0,6.0,15.0,13.0,9.0,10.0,56.0,55.0,64.0,54.0,37.0,48.0,47.0,35.0,59.0,61.0,60.0,61.0,62.0,75.0,60.0,46.0,42.0,40.0
T. Baumgart,19,Germany,RM ,59,71.0,40.0,68.0,69.0,57.0,47.0,53.0,43.0,59.0,56.0,38.0,14.0,12.0,7.0,7.0,13.0,41.0,32.0,73.0,46.0,41.0,21.0,45.0,54.0,56.0,55.0,47.0,27.0,73.0,70.0,26.0,62.0,48.0,44.0
N. Maher,21,England,CB RB ,59,69.0,75.0,50.0,66.0,57.0,40.0,41.0,39.0,50.0,57.0,68.0,12.0,6.0,9.0,9.0,11.0,54.0,66.0,55.0,58.0,65.0,52.0,48.0,32.0,51.0,62.0,58.0,57.0,67.0,65.0,61.0,70.0,52.0,30.0
A. Bodart,19,Belgium,GK ,59,25.0,15.0,22.0,26.0,11.0,23.0,15.0,15.0,9.0,7.0,11.0,63.0,59.0,57.0,54.0,62.0,15.0,15.0,61.0,28.0,11.0,10.0,10.0,6.0,50.0,20.0,25.0,14.0,17.0,20.0,12.0,55.0,28.0,7.0
C. Horgan,22,Republic of Ireland,RB ,59,67.0,49.0,59.0,63.0,59.0,55.0,52.0,28.0,54.0,25.0,26.0,7.0,15.0,13.0,13.0,11.0,54.0,56.0,66.0,50.0,24.0,60.0,42.0,37.0,48.0,55.0,34.0,61.0,63.0,57.0,65.0,70.0,43.0,25.0
J. Wehrmann,18,Netherlands,CDM CM ,59,56.0,55.0,55.0,64.0,60.0,54.0,45.0,40.0,60.0,34.0,43.0,6.0,9.0,11.0,10.0,7.0,51.0,57.0,54.0,64.0,38.0,57.0,46.0,42.0,60.0,66.0,53.0,55.0,52.0,47.0,60.0,62.0,62.0,32.0
C. Main,25,England,ST ,59,57.0,63.0,60.0,57.0,54.0,46.0,45.0,42.0,52.0,52.0,31.0,10.0,16.0,11.0,15.0,10.0,52.0,22.0,80.0,45.0,51.0,34.0,57.0,62.0,58.0,49.0,73.0,22.0,64.0,61.0,26.0,79.0,37.0,58.0
J. Giraldo,19,Colombia,CM CDM ,59,56.0,62.0,65.0,65.0,58.0,38.0,40.0,35.0,52.0,44.0,37.0,14.0,13.0,9.0,8.0,9.0,42.0,54.0,59.0,54.0,49.0,49.0,38.0,63.0,62.0,59.0,47.0,52.0,56.0,74.0,55.0,67.0,58.0,32.0
J. Shaibu,19,Denmark,ST ,59,77.0,25.0,61.0,63.0,61.0,50.0,30.0,50.0,58.0,60.0,29.0,10.0,8.0,13.0,7.0,15.0,57.0,24.0,77.0,35.0,54.0,14.0,70.0,60.0,42.0,40.0,50.0,13.0,81.0,55.0,19.0,69.0,42.0,34.0
E. Kronberg,33,United States,GK ,59,17.0,29.0,16.0,29.0,15.0,50.0,14.0,16.0,19.0,12.0,13.0,55.0,60.0,67.0,59.0,59.0,12.0,25.0,55.0,36.0,15.0,19.0,18.0,14.0,50.0,33.0,18.0,17.0,22.0,12.0,17.0,80.0,50.0,14.0
G. Rogers,35,Republic of Ireland,GK ,59,29.0,34.0,41.0,51.0,10.0,36.0,13.0,14.0,14.0,19.0,12.0,63.0,55.0,56.0,58.0,61.0,14.0,17.0,56.0,23.0,11.0,13.0,19.0,13.0,50.0,36.0,22.0,14.0,26.0,26.0,14.0,56.0,52.0,12.0
B. Close,20,England,CDM CM ,59,74.0,43.0,66.0,70.0,55.0,60.0,53.0,33.0,53.0,36.0,38.0,14.0,8.0,9.0,12.0,10.0,47.0,45.0,61.0,64.0,42.0,46.0,38.0,54.0,47.0,68.0,54.0,51.0,73.0,72.0,53.0,64.0,63.0,35.0
M. Corboz,22,United States,CB CDM ,59,68.0,59.0,63.0,64.0,56.0,52.0,49.0,37.0,51.0,32.0,31.0,6.0,14.0,10.0,7.0,9.0,51.0,55.0,65.0,58.0,39.0,58.0,43.0,55.0,60.0,59.0,48.0,54.0,67.0,64.0,59.0,62.0,54.0,37.0
A. Gounet,28,France,GK ,59,49.0,26.0,51.0,57.0,23.0,27.0,12.0,15.0,14.0,15.0,18.0,59.0,59.0,60.0,59.0,58.0,15.0,21.0,66.0,18.0,17.0,17.0,24.0,14.0,54.0,29.0,19.0,12.0,48.0,38.0,14.0,58.0,20.0,16.0
R. Lainton,27,England,GK ,59,55.0,44.0,53.0,46.0,22.0,24.0,15.0,11.0,12.0,14.0,12.0,60.0,57.0,41.0,59.0,61.0,12.0,14.0,35.0,16.0,14.0,13.0,11.0,13.0,58.0,25.0,12.0,15.0,54.0,33.0,13.0,63.0,41.0,12.0
T. O'Sullivan,22,Wales,CM ,59,67.0,57.0,64.0,68.0,63.0,60.0,38.0,36.0,57.0,44.0,43.0,8.0,11.0,12.0,12.0,7.0,50.0,42.0,61.0,59.0,48.0,47.0,52.0,56.0,51.0,64.0,53.0,45.0,69.0,63.0,47.0,57.0,61.0,43.0
M. Maranda,19,Austria,CB ,59,50.0,55.0,41.0,50.0,45.0,45.0,30.0,36.0,32.0,23.0,28.0,8.0,8.0,9.0,8.0,14.0,56.0,48.0,75.0,38.0,25.0,53.0,37.0,26.0,56.0,47.0,42.0,56.0,58.0,62.0,64.0,76.0,30.0,24.0
E. Adams,21,England,CM ,59,74.0,67.0,68.0,66.0,59.0,48.0,52.0,48.0,60.0,43.0,41.0,7.0,15.0,14.0,7.0,8.0,49.0,58.0,57.0,57.0,50.0,45.0,51.0,54.0,54.0,63.0,66.0,60.0,69.0,75.0,57.0,74.0,52.0,49.0
M. Talal,19,France,CM ,59,56.0,63.0,64.0,76.0,65.0,57.0,45.0,40.0,65.0,34.0,41.0,7.0,10.0,12.0,7.0,11.0,53.0,52.0,58.0,56.0,35.0,47.0,54.0,28.0,57.0,69.0,59.0,64.0,54.0,78.0,58.0,48.0,51.0,34.0
Lara,17,Spain,LW ,59,72.0,33.0,64.0,71.0,66.0,49.0,60.0,57.0,59.0,58.0,49.0,10.0,6.0,7.0,14.0,7.0,45.0,25.0,47.0,51.0,46.0,27.0,61.0,52.0,43.0,55.0,59.0,28.0,75.0,44.0,36.0,46.0,51.0,53.0
C. Månsson,36,Sweden,GK ,59,19.0,44.0,46.0,35.0,29.0,38.0,23.0,13.0,14.0,18.0,20.0,58.0,59.0,57.0,64.0,60.0,28.0,18.0,58.0,35.0,17.0,20.0,28.0,17.0,41.0,43.0,24.0,13.0,15.0,33.0,13.0,67.0,39.0,25.0
Y. Kimoto,23,Japan,CB CDM ,59,66.0,53.0,57.0,61.0,48.0,36.0,43.0,39.0,42.0,34.0,33.0,11.0,7.0,9.0,13.0,10.0,65.0,65.0,67.0,51.0,30.0,57.0,38.0,54.0,47.0,58.0,53.0,57.0,60.0,66.0,63.0,76.0,49.0,36.0
Núñez,19,Spain,RB ,59,68.0,59.0,54.0,72.0,41.0,38.0,58.0,38.0,59.0,30.0,41.0,8.0,9.0,7.0,10.0,9.0,55.0,59.0,57.0,29.0,32.0,57.0,49.0,52.0,58.0,34.0,28.0,69.0,56.0,60.0,68.0,51.0,39.0,36.0
G. Caffa,36,Argentina,GK ,59,11.0,14.0,20.0,17.0,11.0,20.0,19.0,12.0,12.0,11.0,14.0,57.0,58.0,53.0,60.0,60.0,20.0,12.0,26.0,15.0,15.0,16.0,20.0,12.0,52.0,18.0,16.0,11.0,14.0,17.0,16.0,64.0,34.0,17.0
Vera,20,Spain,LM CF ,59,64.0,39.0,54.0,75.0,56.0,49.0,39.0,61.0,64.0,63.0,42.0,14.0,11.0,13.0,8.0,5.0,62.0,13.0,65.0,53.0,60.0,19.0,62.0,58.0,56.0,56.0,61.0,15.0,61.0,57.0,18.0,38.0,54.0,60.0
B. Varga,23,Hungary,ST ,59,67.0,32.0,70.0,69.0,56.0,54.0,32.0,47.0,48.0,58.0,29.0,15.0,11.0,7.0,12.0,9.0,57.0,15.0,67.0,32.0,54.0,11.0,57.0,59.0,62.0,52.0,62.0,11.0,67.0,61.0,12.0,60.0,53.0,49.0
S. Long,22,Republic of Ireland,RB ,59,66.0,63.0,66.0,65.0,55.0,61.0,55.0,33.0,42.0,27.0,34.0,14.0,8.0,11.0,6.0,14.0,55.0,55.0,60.0,38.0,28.0,59.0,37.0,32.0,51.0,48.0,36.0,56.0,66.0,73.0,57.0,63.0,32.0,27.0
J. Bouet,33,France,GK ,59,20.0,21.0,27.0,48.0,15.0,30.0,11.0,14.0,7.0,7.0,12.0,59.0,65.0,63.0,59.0,58.0,13.0,8.0,58.0,16.0,5.0,7.0,11.0,6.0,34.0,29.0,20.0,11.0,28.0,22.0,12.0,67.0,24.0,9.0
O. Filip,19,Austria,RM ,59,64.0,21.0,61.0,75.0,56.0,46.0,56.0,43.0,61.0,58.0,34.0,5.0,8.0,13.0,12.0,8.0,48.0,17.0,69.0,53.0,45.0,23.0,49.0,62.0,45.0,59.0,56.0,27.0,65.0,64.0,19.0,58.0,54.0,47.0
V. Ramis,22,Argentina,RW RM ST ,59,65.0,26.0,57.0,64.0,60.0,41.0,33.0,45.0,55.0,60.0,40.0,10.0,8.0,12.0,10.0,11.0,64.0,15.0,65.0,38.0,51.0,18.0,56.0,54.0,56.0,48.0,61.0,20.0,63.0,61.0,16.0,58.0,44.0,52.0
J. Jones,21,Scotland,CM ,59,69.0,44.0,67.0,79.0,60.0,55.0,52.0,46.0,59.0,50.0,42.0,10.0,9.0,12.0,11.0,15.0,38.0,39.0,47.0,65.0,51.0,40.0,50.0,53.0,47.0,66.0,41.0,37.0,64.0,64.0,43.0,55.0,60.0,39.0
T. Bola,18,England,CB ,59,59.0,50.0,50.0,62.0,41.0,49.0,32.0,29.0,33.0,30.0,32.0,8.0,13.0,6.0,12.0,5.0,60.0,53.0,67.0,29.0,29.0,50.0,42.0,32.0,52.0,43.0,41.0,68.0,55.0,57.0,65.0,68.0,36.0,35.0
K. Stamatopoulos,37,Canada,GK ,59,30.0,22.0,34.0,63.0,24.0,31.0,17.0,9.0,12.0,12.0,9.0,60.0,52.0,57.0,61.0,58.0,14.0,21.0,49.0,22.0,16.0,13.0,16.0,17.0,64.0,36.0,16.0,10.0,35.0,40.0,9.0,72.0,35.0,9.0
A. Araujo,25,Argentina,RM ,59,68.0,32.0,76.0,93.0,63.0,45.0,48.0,50.0,65.0,49.0,45.0,7.0,8.0,10.0,10.0,15.0,42.0,28.0,59.0,52.0,53.0,29.0,47.0,48.0,50.0,54.0,54.0,26.0,84.0,57.0,30.0,32.0,52.0,46.0
A. Fleming,29,England,LM CAM CDM CM ,59,69.0,48.0,73.0,70.0,60.0,55.0,46.0,47.0,55.0,53.0,50.0,16.0,8.0,14.0,9.0,6.0,46.0,48.0,63.0,59.0,53.0,38.0,52.0,58.0,58.0,64.0,56.0,42.0,73.0,52.0,48.0,57.0,62.0,40.0
J. Bamert,19,Switzerland,LB RB CB ,59,66.0,55.0,51.0,61.0,54.0,55.0,41.0,33.0,44.0,23.0,32.0,7.0,11.0,6.0,9.0,7.0,57.0,54.0,64.0,34.0,24.0,59.0,39.0,37.0,55.0,49.0,30.0,61.0,52.0,57.0,66.0,57.0,34.0,31.0
O. Mamoun,21,France,RB CB CDM ,59,54.0,63.0,52.0,58.0,61.0,55.0,47.0,43.0,61.0,32.0,45.0,11.0,7.0,6.0,13.0,10.0,51.0,54.0,64.0,64.0,34.0,59.0,50.0,40.0,51.0,64.0,55.0,62.0,44.0,34.0,63.0,58.0,49.0,41.0
S. Folan,25,Republic of Ireland,CB ,59,45.0,59.0,56.0,52.0,52.0,50.0,54.0,46.0,43.0,37.0,39.0,10.0,14.0,7.0,14.0,9.0,57.0,54.0,60.0,54.0,43.0,58.0,49.0,43.0,53.0,54.0,53.0,60.0,44.0,55.0,59.0,69.0,41.0,46.0
D. Cornell,26,Wales,GK ,59,38.0,32.0,47.0,50.0,23.0,25.0,16.0,16.0,11.0,13.0,11.0,60.0,58.0,61.0,57.0,60.0,11.0,17.0,58.0,30.0,12.0,13.0,21.0,12.0,52.0,29.0,16.0,17.0,34.0,18.0,12.0,64.0,31.0,14.0
F. Andersson,28,Sweden,GK ,59,32.0,22.0,34.0,33.0,22.0,29.0,10.0,16.0,14.0,18.0,14.0,56.0,65.0,51.0,57.0,58.0,11.0,21.0,54.0,23.0,14.0,13.0,20.0,11.0,54.0,26.0,19.0,17.0,39.0,36.0,18.0,71.0,26.0,12.0
T. Onozawa,19,Japan,LM ,59,82.0,32.0,80.0,89.0,57.0,42.0,63.0,42.0,54.0,45.0,38.0,13.0,14.0,6.0,11.0,12.0,33.0,21.0,63.0,44.0,32.0,24.0,48.0,55.0,52.0,55.0,47.0,33.0,76.0,67.0,34.0,44.0,54.0,39.0
A. Nurudeen,18,Ghana,GK ,59,18.0,26.0,26.0,44.0,16.0,23.0,11.0,12.0,10.0,7.0,11.0,64.0,59.0,58.0,57.0,61.0,12.0,13.0,63.0,19.0,6.0,7.0,19.0,4.0,44.0,23.0,22.0,12.0,29.0,22.0,13.0,38.0,27.0,7.0
E. Næsbak Brenden,23,Norway,CAM RM ,59,77.0,31.0,79.0,74.0,58.0,56.0,60.0,43.0,62.0,54.0,42.0,10.0,10.0,12.0,11.0,5.0,41.0,16.0,47.0,47.0,51.0,27.0,55.0,46.0,46.0,56.0,58.0,30.0,78.0,66.0,22.0,48.0,49.0,45.0
M. Christensen,19,Denmark,CM ,59,63.0,52.0,66.0,63.0,61.0,55.0,56.0,37.0,52.0,44.0,44.0,11.0,6.0,9.0,5.0,12.0,58.0,59.0,68.0,62.0,42.0,54.0,48.0,43.0,52.0,65.0,56.0,60.0,65.0,70.0,63.0,69.0,58.0,43.0
Lee Jeong Bin,22,Korea Republic,CAM CM ,59,70.0,59.0,68.0,71.0,62.0,57.0,46.0,48.0,58.0,56.0,38.0,10.0,10.0,13.0,11.0,9.0,47.0,47.0,59.0,56.0,43.0,39.0,42.0,60.0,59.0,63.0,51.0,40.0,73.0,59.0,40.0,59.0,66.0,44.0
E. Brophy,21,Scotland,CAM ST ,59,74.0,59.0,73.0,63.0,59.0,50.0,32.0,51.0,57.0,58.0,41.0,14.0,7.0,13.0,15.0,10.0,56.0,33.0,78.0,43.0,46.0,20.0,60.0,55.0,54.0,55.0,61.0,18.0,69.0,72.0,22.0,69.0,62.0,49.0
G. Peers,31,Republic of Ireland,CB ,59,34.0,63.0,50.0,47.0,52.0,58.0,39.0,18.0,41.0,24.0,35.0,10.0,10.0,16.0,14.0,7.0,60.0,54.0,68.0,50.0,29.0,53.0,39.0,23.0,50.0,50.0,58.0,54.0,34.0,66.0,55.0,89.0,38.0,32.0
A. Al Najjar,20,Saudi Arabia,RW RM ,59,79.0,32.0,66.0,81.0,59.0,49.0,49.0,45.0,63.0,55.0,36.0,9.0,6.0,14.0,8.0,8.0,42.0,22.0,51.0,47.0,47.0,22.0,51.0,52.0,46.0,53.0,56.0,23.0,80.0,56.0,27.0,26.0,50.0,38.0
A. Paroni,27,Italy,GK ,59,34.0,21.0,46.0,33.0,14.0,26.0,18.0,14.0,15.0,11.0,12.0,59.0,57.0,47.0,57.0,62.0,20.0,23.0,54.0,17.0,18.0,11.0,27.0,12.0,54.0,25.0,23.0,14.0,52.0,26.0,13.0,42.0,34.0,14.0
A. May,19,England,CAM CM ,59,71.0,58.0,67.0,75.0,57.0,43.0,35.0,34.0,52.0,43.0,32.0,7.0,7.0,14.0,13.0,14.0,52.0,54.0,71.0,58.0,56.0,51.0,36.0,51.0,62.0,61.0,54.0,52.0,73.0,70.0,58.0,64.0,55.0,37.0
R. Sawakami,23,Japan,ST ,59,68.0,65.0,73.0,63.0,60.0,53.0,27.0,36.0,47.0,63.0,26.0,14.0,8.0,12.0,9.0,12.0,65.0,16.0,61.0,47.0,52.0,10.0,63.0,45.0,56.0,58.0,49.0,17.0,71.0,67.0,18.0,77.0,64.0,39.0
J. Macías,17,Mexico,ST ,59,53.0,29.0,59.0,69.0,53.0,54.0,40.0,39.0,58.0,61.0,37.0,10.0,10.0,6.0,11.0,5.0,65.0,13.0,60.0,34.0,52.0,20.0,73.0,55.0,59.0,54.0,59.0,20.0,63.0,52.0,19.0,56.0,48.0,47.0
E. Nesterenko,21,Russia,CB ,59,52.0,53.0,47.0,47.0,42.0,56.0,30.0,35.0,33.0,27.0,33.0,15.0,13.0,13.0,8.0,12.0,57.0,58.0,71.0,29.0,25.0,52.0,48.0,25.0,51.0,42.0,47.0,67.0,44.0,59.0,64.0,70.0,29.0,32.0
A. Ibrahimaj,25,Germany,RM ,59,76.0,63.0,73.0,69.0,59.0,47.0,56.0,48.0,65.0,48.0,46.0,14.0,13.0,9.0,15.0,12.0,42.0,23.0,63.0,48.0,47.0,26.0,52.0,56.0,40.0,57.0,60.0,28.0,77.0,60.0,28.0,61.0,51.0,52.0
C. Clifford,25,Republic of Ireland,CM ,59,63.0,76.0,66.0,56.0,64.0,59.0,51.0,52.0,56.0,54.0,55.0,12.0,15.0,10.0,16.0,15.0,53.0,43.0,64.0,58.0,54.0,44.0,45.0,47.0,52.0,62.0,69.0,53.0,64.0,72.0,51.0,66.0,57.0,36.0
C. McCormack,27,Republic of Ireland,CDM CM ,59,68.0,74.0,65.0,74.0,53.0,57.0,56.0,50.0,52.0,51.0,55.0,12.0,9.0,10.0,7.0,14.0,54.0,58.0,59.0,56.0,59.0,59.0,60.0,57.0,54.0,61.0,63.0,56.0,66.0,72.0,60.0,51.0,58.0,47.0
N. Al Mousa,26,Saudi Arabia,CAM CM CDM ,59,52.0,53.0,74.0,63.0,58.0,45.0,56.0,55.0,54.0,49.0,57.0,12.0,15.0,12.0,9.0,11.0,45.0,47.0,73.0,56.0,54.0,52.0,37.0,57.0,62.0,62.0,53.0,53.0,71.0,84.0,57.0,71.0,48.0,30.0
R. Wolsztyński,22,Poland,ST ,59,64.0,31.0,64.0,70.0,55.0,56.0,48.0,48.0,58.0,59.0,29.0,11.0,6.0,12.0,14.0,14.0,53.0,21.0,83.0,46.0,50.0,20.0,54.0,58.0,60.0,53.0,55.0,18.0,70.0,61.0,14.0,60.0,55.0,51.0
A. Trusty,18,United States,CB ,59,75.0,71.0,57.0,52.0,49.0,43.0,36.0,46.0,41.0,29.0,29.0,13.0,14.0,11.0,10.0,12.0,59.0,52.0,68.0,50.0,45.0,54.0,52.0,34.0,52.0,54.0,54.0,49.0,76.0,77.0,54.0,80.0,29.0,32.0
H. Sandvik,27,Norway,GK ,59,34.0,21.0,41.0,57.0,28.0,25.0,21.0,20.0,22.0,22.0,21.0,58.0,58.0,57.0,56.0,59.0,17.0,22.0,53.0,22.0,20.0,21.0,31.0,8.0,57.0,24.0,43.0,22.0,46.0,43.0,19.0,56.0,32.0,20.0
V. Patrasco,18,Moldova,LB ,59,74.0,56.0,67.0,62.0,45.0,48.0,52.0,39.0,60.0,33.0,39.0,12.0,9.0,6.0,6.0,8.0,51.0,60.0,60.0,39.0,32.0,56.0,40.0,51.0,59.0,45.0,36.0,62.0,69.0,58.0,64.0,58.0,40.0,30.0
M. Bürki,23,Switzerland,LB CB ,59,54.0,53.0,32.0,38.0,45.0,59.0,31.0,29.0,34.0,18.0,27.0,12.0,7.0,14.0,8.0,10.0,52.0,51.0,72.0,39.0,23.0,59.0,32.0,19.0,49.0,48.0,41.0,61.0,55.0,76.0,65.0,75.0,40.0,22.0
J. Brophy,22,England,LM LB LWB ,59,75.0,53.0,79.0,69.0,55.0,54.0,58.0,50.0,70.0,35.0,48.0,8.0,10.0,9.0,7.0,6.0,42.0,54.0,63.0,42.0,34.0,56.0,40.0,60.0,51.0,51.0,47.0,57.0,78.0,60.0,58.0,57.0,49.0,40.0
C. Arcus,21,Haiti,RB ,59,68.0,45.0,50.0,76.0,52.0,44.0,46.0,32.0,44.0,28.0,31.0,8.0,10.0,6.0,15.0,11.0,53.0,59.0,70.0,38.0,20.0,59.0,38.0,30.0,50.0,45.0,44.0,65.0,66.0,55.0,65.0,64.0,37.0,34.0
J. Barrett,19,Republic of Ireland,CAM CM ,59,67.0,44.0,62.0,68.0,64.0,59.0,57.0,58.0,63.0,51.0,58.0,5.0,9.0,14.0,13.0,9.0,40.0,49.0,53.0,57.0,59.0,52.0,59.0,52.0,57.0,60.0,58.0,44.0,67.0,58.0,48.0,57.0,58.0,54.0
A. Nkosi,24,South Africa,ST ,59,66.0,30.0,52.0,63.0,61.0,49.0,58.0,37.0,61.0,62.0,25.0,14.0,9.0,15.0,6.0,15.0,60.0,10.0,60.0,31.0,57.0,12.0,59.0,56.0,48.0,58.0,52.0,17.0,64.0,55.0,13.0,56.0,43.0,42.0
Samu Casado,20,Spain,GK ,59,44.0,16.0,36.0,55.0,18.0,28.0,22.0,24.0,19.0,14.0,14.0,62.0,58.0,55.0,53.0,65.0,23.0,21.0,53.0,38.0,20.0,12.0,25.0,13.0,51.0,28.0,24.0,17.0,45.0,45.0,18.0,65.0,18.0,19.0
A. Larsen,27,Denmark,GK ,59,16.0,19.0,33.0,53.0,23.0,30.0,12.0,14.0,13.0,8.0,12.0,57.0,58.0,61.0,61.0,60.0,12.0,7.0,62.0,28.0,8.0,7.0,14.0,7.0,53.0,32.0,18.0,11.0,22.0,18.0,9.0,54.0,27.0,8.0
S. Buchta,20,Germany,LM RB ,59,70.0,48.0,66.0,66.0,57.0,47.0,59.0,40.0,58.0,37.0,45.0,10.0,13.0,15.0,7.0,11.0,48.0,49.0,61.0,58.0,41.0,51.0,53.0,44.0,54.0,63.0,57.0,57.0,67.0,72.0,59.0,58.0,55.0,42.0
F. Dmitrovic,21,Serbia,GK ,59,40.0,24.0,32.0,40.0,15.0,29.0,14.0,12.0,10.0,8.0,14.0,61.0,59.0,53.0,58.0,63.0,14.0,13.0,55.0,21.0,9.0,9.0,17.0,8.0,46.0,26.0,24.0,14.0,37.0,27.0,14.0,61.0,29.0,9.0
M. Mellado,24,Argentina,CDM ,59,60.0,59.0,57.0,73.0,61.0,55.0,53.0,40.0,55.0,35.0,49.0,5.0,9.0,14.0,7.0,15.0,56.0,56.0,63.0,59.0,39.0,49.0,47.0,31.0,52.0,66.0,54.0,61.0,55.0,60.0,58.0,54.0,52.0,34.0
M. Rasmussen,19,Norway,CM LW ,59,68.0,53.0,74.0,82.0,63.0,59.0,60.0,44.0,62.0,41.0,60.0,14.0,15.0,14.0,12.0,15.0,43.0,38.0,88.0,61.0,62.0,38.0,50.0,57.0,53.0,63.0,62.0,67.0,61.0,63.0,42.0,41.0,50.0,37.0
T. Roex,19,Netherlands,GK ,59,27.0,25.0,31.0,47.0,17.0,24.0,12.0,14.0,5.0,9.0,11.0,62.0,61.0,61.0,58.0,61.0,12.0,13.0,64.0,28.0,9.0,5.0,18.0,7.0,42.0,22.0,24.0,12.0,16.0,24.0,13.0,49.0,32.0,6.0
J. Álvarez,19,Argentina,LW LM ,59,69.0,40.0,52.0,70.0,66.0,55.0,56.0,49.0,71.0,48.0,43.0,14.0,6.0,6.0,10.0,12.0,48.0,25.0,44.0,52.0,43.0,35.0,60.0,46.0,41.0,51.0,65.0,45.0,66.0,48.0,37.0,51.0,57.0,55.0
Miguel Magalhães,18,Portugal,RB ,59,68.0,59.0,86.0,83.0,48.0,55.0,52.0,36.0,60.0,30.0,39.0,8.0,9.0,10.0,10.0,9.0,45.0,54.0,70.0,32.0,26.0,50.0,46.0,54.0,62.0,50.0,34.0,62.0,67.0,69.0,65.0,42.0,40.0,32.0
M. Netolitzky,23,Germany,GK ,59,39.0,29.0,34.0,30.0,23.0,52.0,20.0,16.0,19.0,14.0,21.0,60.0,57.0,55.0,55.0,64.0,18.0,25.0,64.0,25.0,12.0,13.0,21.0,19.0,55.0,33.0,25.0,13.0,41.0,40.0,16.0,74.0,13.0,17.0
D. Franke,18,Germany,LB ,59,69.0,56.0,68.0,64.0,63.0,39.0,59.0,45.0,62.0,29.0,44.0,8.0,10.0,14.0,9.0,13.0,49.0,54.0,63.0,42.0,35.0,55.0,39.0,51.0,56.0,58.0,34.0,59.0,65.0,59.0,57.0,49.0,48.0,31.0
R. Gilmartin,30,Republic of Ireland,GK ,59,52.0,37.0,55.0,28.0,22.0,54.0,17.0,11.0,13.0,15.0,11.0,67.0,54.0,54.0,54.0,61.0,14.0,10.0,58.0,23.0,16.0,14.0,21.0,16.0,51.0,26.0,25.0,11.0,54.0,15.0,14.0,70.0,33.0,12.0
E. Dahlin,28,Sweden,GK ,59,34.0,27.0,35.0,39.0,34.0,49.0,9.0,14.0,9.0,17.0,9.0,55.0,57.0,57.0,56.0,62.0,10.0,24.0,37.0,29.0,12.0,9.0,35.0,12.0,64.0,35.0,29.0,14.0,32.0,33.0,14.0,77.0,20.0,20.0
S. Bjørkkjær,20,Norway,LB ,59,67.0,51.0,89.0,89.0,54.0,50.0,52.0,31.0,56.0,19.0,29.0,12.0,10.0,10.0,11.0,10.0,52.0,56.0,87.0,41.0,21.0,54.0,42.0,31.0,52.0,54.0,41.0,61.0,65.0,65.0,61.0,34.0,36.0,35.0
V. Mouangue,19,France,LB ,59,73.0,50.0,78.0,87.0,55.0,50.0,62.0,35.0,59.0,30.0,36.0,6.0,11.0,6.0,5.0,9.0,48.0,58.0,47.0,40.0,38.0,59.0,27.0,49.0,50.0,55.0,38.0,59.0,70.0,48.0,62.0,31.0,29.0,29.0
S. Humphrys,19,England,ST ,59,65.0,29.0,59.0,62.0,57.0,49.0,31.0,42.0,56.0,59.0,29.0,14.0,9.0,9.0,10.0,11.0,59.0,21.0,69.0,28.0,52.0,16.0,61.0,56.0,49.0,41.0,55.0,13.0,70.0,58.0,14.0,86.0,48.0,38.0
J. Schryvers,20,Belgium,RB ,59,73.0,62.0,68.0,66.0,60.0,48.0,56.0,42.0,55.0,26.0,40.0,12.0,9.0,10.0,14.0,10.0,50.0,50.0,69.0,52.0,43.0,58.0,38.0,37.0,49.0,55.0,50.0,56.0,76.0,60.0,57.0,58.0,45.0,33.0
A. Fuchs,20,Germany,CM ,59,69.0,47.0,67.0,68.0,63.0,39.0,53.0,61.0,58.0,49.0,42.0,9.0,13.0,7.0,5.0,11.0,46.0,53.0,72.0,59.0,49.0,48.0,45.0,46.0,53.0,62.0,45.0,47.0,54.0,60.0,52.0,58.0,60.0,38.0
B. Lekström,36,Sweden,GK ,59,39.0,32.0,52.0,32.0,18.0,45.0,12.0,14.0,13.0,15.0,10.0,58.0,59.0,56.0,60.0,58.0,13.0,23.0,56.0,35.0,15.0,13.0,15.0,15.0,50.0,30.0,15.0,18.0,37.0,31.0,20.0,64.0,28.0,11.0
L. Dreher,18,England,CM ,59,62.0,45.0,72.0,70.0,63.0,48.0,41.0,48.0,56.0,44.0,46.0,8.0,10.0,11.0,5.0,5.0,49.0,53.0,60.0,64.0,51.0,45.0,47.0,42.0,53.0,64.0,56.0,46.0,69.0,57.0,47.0,66.0,61.0,33.0
L. Bossin,21,Republic of Ireland,GK ,59,45.0,24.0,37.0,55.0,26.0,29.0,14.0,14.0,17.0,12.0,11.0,63.0,57.0,51.0,52.0,62.0,18.0,20.0,54.0,22.0,12.0,15.0,22.0,14.0,53.0,30.0,24.0,14.0,48.0,19.0,20.0,69.0,29.0,18.0
